ID;Title;WebsiteURL;Comments;BookingURL;ContactEmail;FaultReportEmail
45;(Business Owner at Location);None;For use when the operator of the equipment is a single business owner connected to the location and equipment is not part of a larger network;None;None;None
44;(Private Residence/Individual);None;For use when the operator is a home owner or private individual making their own facilities available to the public;None;None;None
1;(Unknown Operator);None;None;None;None;None
3333;AAE;https://www.aae.at/;None;None;None;None
26;AeroVironment;http://www.avinc.com/;None;None;None;None
118;AGSM Electrify Verona;https://www.agsm.it/I-servizi/Electrify-Verona;None;None;None;None
3326;Alfapower (UK);http://www.alfapower.co.uk/;None;None;None;None
180;Alfen;http://www.alfen.com/;None;None;None;None
3336;Alizé;https://alizecharge.com/en/;None;None;None;None
3410;Alizé Liberté;https://alizecharge.com/;None;None;None;None
103;Allego BV;http://www.allego.eu/;None;None;info@allego.eu;None
3383;AlterBase - Sorégies (FR);http://www.alterbase86.soregies.fr/portal/#/;None;None;service-recharge@soregies.fr;None
3305;AMB (Àrea metropolitana de Barcelona);http://www.amb.cat/en/web/mobilitat/mobilitat-sostenible/electrolineres;None;None;None;None
212;Amersam;http://nou.amersam.cat/;None;None;amersam@amersam.com;None
56;Auto Bleue;http://www.auto-bleue.org/;None;None;None;None
3362;Autoenterprise / АвтоЭнтерпрайз;https://www.autoenterprise.com.ua/;None;None;None;None
53;Autolib (Paris);https://www.autolib.eu/;None;None;None;None
3284;autoPilDYK;http://autopildyk.lt/;None;None;pagalba@autopildyk.lt;None
3303;Avacon;https://www.avacon.de/;None;None;info@avacon.de;None
43;AVCON;None;Obsolete inductive paddle charging;None;None;None
3352;Axpo Energy Solutions Italia;https://www.axpo.com/axpo/it/it/chi-siamo/localita-europa/sedi-italia.html;IT*AXP;None;None;None
186;Azra Network;http://azranetwork.co/azra/;None;None;info@azranetwork.co;None
3292;Badenova (DE);https://www.badenova.de/web/Privatkunden/E-Mobilit%C3%A4t/%C3%96ffentliches-Laden/index-2.jsp;None;None;e-mobility@badenova.de;None
3385;BC Hydro;https://ev.bchydro.com;None;None;None;None
3327;Be Charge (Italy);https://www.bec.energy/;None;None;None;None
214;be emobil;http://www.be-emobil.de/;None;None;dialog@be-emobil.de;None
3261;Be Energised;https://beenergised.com/;also known as has.to.be;None;None;None
94;BeCharged;http://www.becharged.eu/;None;None;info@becharged.eu;None
1235;Belib’;http://belib.paris/;None;None;contact@sodetrel.fr;sav@sodetrel.fr
3268;Belorusneft;http://www.belorusneft.by/beloil-map/?lang=en;None;None;None;None
9;Blink Network/ECOtality;http://www.blinknetwork.com/;Membership based charging network, part of Car Charging Group, inc.;https://prod.blinknetwork.com/membership.html;support@blinknetwork.com;support@blinknetwork.com
36;Blue Corner (Belgium);http://www.bluecorner.be/;None;None;None;None
3331;BLUETORINO;https://www.bluetorino.eu/ricarica;None;None;None;None
129;BS Energie;http://www.bs-energy.de/engagement/umwelt/elektromobilitaet/elektrotankstellen/;None;None;energieberatung@bs-energy.de;None
3304;Celsia;https://www.celsia.com/;None;None;None;None
115;ČEZ;http://www.elektromobilita.cz/;None;None;None;None
3345;Char.gy;https://char.gy;different organisation to similarly named organisation in Luxembourg;None;None;None
202;Charge & Drive (Fortum - NO);http://www.fortum.no/hurtigladere;None;None;chargedrive.no@fortum.com;None
215;Charge & Fuel;https://www.volkswagenleasing.de/de/home/mobilitaetsdienstleistungen/europa_tank_servicekarten/charge-fuel-card.html;None;None;tankkarten@vwfs.com;None
20;Charge Your Car;http://www.chargeyourcar.org.uk/;None;None;admin@chargeyourcar.org.uk;admin@chargeyourcar.org.uk
229;charge.net.nz;https://charge.net.nz/;None;None;None;None
3339;Chargefox;https://chargefox.com;None;None;None;None
3374;ChargeGrid;https://chargegrid.in/;None;None;tech.support@magentapower.in;tech.support@magentapower.in
101;ChargeIT mobility;http://www.chargeit-mobility.com/;None;None;info@chargeit-mobility.com;None
96;ChargeLounge;http://www.chargelounge.de/;None;None;info@chargelounge.de;None
8;Chargemaster;http://chargemasterplc.com/;Operate networks in both UK and France;None;polarenquiries@chargemasterplc.com;polarenquiries@chargemasterplc.com
227;chargeNET (lk);http://chargenet.lk/;None;None;info@vega.lk;None
